İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Adres,Soket Bilgileri,Detaylı Soket Bilgisi (kW/Tip)
ŞRJ/15942,PO Bulgurlu,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,META MOBİLİTE ENERJİ ANONİM ŞİRKETİ,Bulgurlu Mahallesi Kireçfırın Sokağı No:25 Üsküdar / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20040,HEAŞ Genel Havacılık,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Sanayi Mahallesi Havaalanı Sokağı Pendik / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20041,Carrefoursa Düzce,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Koçyazı Mahallesi No:52 A Merkez / DÜZCE,,Buton yok veya okunamadı
ŞRJ/20042,Togg Deneyim Merkezi İzmir,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Erzene Mahallesi Ankara Caddesi No:180 Bornova / İZMİR,,Buton yok veya okunamadı
ŞRJ/20043,Shell Akhisar OSB,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Kayalıoğlu Mahallesi Ovaevler Sokağı No:4 Akhisar / MANİSA,,Buton yok veya okunamadı
ŞRJ/12211,ERGİN CONCEPT YAŞAM SOKAĞI,Halka Açık,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Ahmet Yesevi Mahallesi Ergin Sokağı No:4 Nilüfer / BURSA,,Buton yok veya okunamadı
ŞRJ/12214,AVRUPA KONUTLARI ATAKENT 2,Özel,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Halkalı Merkez Mahallesi Mahmutbey Caddesi Küçükçekmece / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/6819,GÜÇLÜ GROSS SORGUN,Halka Açık,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Aydınlıkevler Mahallesi No:56 Sorgun / YOZGAT,,Buton yok veya okunamadı
ŞRJ/20055,DEKORİDA REZİDANS 3,Özel,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Karacaören Mahallesi 113 Sokağı No:9 Merkez / ÇANAKKALE,,Buton yok veya okunamadı
ŞRJ/20056,BYD PLAZA AYYAPI OTOMOTİV,Halka Açık,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Yalıncak Mahallesi Trabzon Rize Caddesi No:0 Ortahisar / TRABZON,,Buton yok veya okunamadı
ŞRJ/20064,Bosch Car Service-Autobirmann Libadiye,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Küçükçamlıca Mahallesi Libadiye Sokağı Üsküdar / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20065,Nuh Öztürk Akaryakıt İstasyonu,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çimşit Mahallesi Çimşit Sokağı No:3 Gölbaşı / ANKARA,,Buton yok veya okunamadı
ŞRJ/20066,Erzurum Hizmet İçi Eğitim Enstitüsü Oteli Otoparkı,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Ömertepe Mahallesi No:29B Aziziye / ERZURUM,,Buton yok veya okunamadı
ŞRJ/20067,DEMİR YAŞAM SİTESİ,Özel,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Beşirli Mahallesi Kınalıtaş Caddesi No:35 Kartal / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/2710,Deva Hastanesi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Bekirbey Mahallesi No:98 Şahinbey / GAZİANTEP,,Buton yok veya okunamadı
ŞRJ/2712,Deva Okulları Merkez Kampüsü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İncirli Pınar Mahallesi Sabahat Gögüs Caddesi No:7 Şehitkamil / GAZİANTEP,,Buton yok veya okunamadı
ŞRJ/10334,Elit Class Residence Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Zeytinli Mahallesi 79021 Sokağı No:65 Şehitkamil / GAZİANTEP,,Buton yok veya okunamadı
ŞRJ/7365,Medical Point Gaziantep,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Mücahitler Mahallesi 52063 Sokağı No:2 Şehitkamil / GAZİANTEP,,Buton yok veya okunamadı
ŞRJ/2717,Novotel Gaziantep,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yaprak Mahallesi İstasyon Caddesi No:80 Şehitkamil / GAZİANTEP,,Buton yok veya okunamadı
ŞRJ/13721,Oska – Kule Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Şahintepe Mahallesi 133380 Sokağı No:1 Şahinbey / GAZİANTEP,,Buton yok veya okunamadı
ŞRJ/1205,Park Dedeman Gaziantep,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Mücahitler Mahallesi 9. Caddesi No:30 Şehitkamil / GAZİANTEP,,Buton yok veya okunamadı
ŞRJ/20079,Shell Sandıklı Batı,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,İstasyon Mahallesi Afyon Denizli Yolu Sandıklı / AFYONKARAHİSAR,,Buton yok veya okunamadı
ŞRJ/20092,"Uçar, Üsküdar",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Beylerbeyi Küplüce Mahallesi Şemsibey Sokağı No:28/A1 Üsküdar / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20093,Simplicity Sitesi,Özel,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,Meclis Mahallesi Çağatay Sokağı No:2 Sancaktepe / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20095,Ilgaz Doğruyol Dinlenme Tesisleri,Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Ziraat Mahallesi Ilgaz / ÇANKIRI,,Buton yok veya okunamadı
ŞRJ/20100,Avrupark Hayat Konutları - 2,Halka Açık,oncharge,KALYON ELECTRICAL VEHICLE ENERJİ YATIRIM ANONİM ŞİRKETİ,KALYON ELECTRICAL VEHICLE ENERJİ YATIRIM ANONİM ŞİRKETİ,Orhangazi Mahallesi Tunç Caddesi No:11 Esenyurt / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20102,İÜC - Büyükçekmece Yerleşkesi,Halka Açık,oncharge,KALYON ELECTRICAL VEHICLE ENERJİ YATIRIM ANONİM ŞİRKETİ,KALYON ELECTRICAL VEHICLE ENERJİ YATIRIM ANONİM ŞİRKETİ,Karaağaç Mahallesi Çamlıca Caddesi No:1 Büyükçekmece / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20108,Selçuk Sitesi,Özel,solarşarj,SOLAR ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,SOLAR ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,Kardelen Mahallesi 2102. Caddesi No:8 Yenimahalle / ANKARA,,Buton yok veya okunamadı
ŞRJ/20110,Ankara Tenis Kulübü,Halka Açık,otoWATT,AYDEM PLUS ENERJİ ÇÖZÜMLERİ TİCARET ANONİM ŞİRKETİ,AYDEM PLUS ENERJİ ÇÖZÜMLERİ TİCARET ANONİM ŞİRKETİ,Karşıyaka Mahallesi 575 Caddesi No:8/32 Gölbaşı / ANKARA,,Buton yok veya okunamadı
ŞRJ/20123,Kuşçular Bağ Yolu Çarşı,Halka Açık,EN YAKIT,EN YAKIT ANONİM ŞİRKETİ,EN YAKIT ANONİM ŞİRKETİ,Kuşçular Mahallesi Kuşçular Caddesi No:1-2 Urla / İZMİR,,Buton yok veya okunamadı
ŞRJ/19135,MARAŞPARK RESİDENCE,Özel,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,4X ENERJİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,Yamaçtepe Mahallesi 93019 Sokağı No:1 Onikişubat / KAHRAMANMARAŞ,,Buton yok veya okunamadı
ŞRJ/18987,MARAŞ MODERN SİTESİ,Özel,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,4X ENERJİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,Haydarbey Mahallesi Genç Osman Caddesi 32085. Sokağı No:9 Onikişubat / KAHRAMANMARAŞ,,Buton yok veya okunamadı
ŞRJ/20125,YAŞAM EVLERİ SİTESİ,Özel,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Esatpaşa Mahallesi Ziyapaşa Sokağı No:1 Ataşehir / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20128,Türkiye Halk Bankası/ Gayrettepe Kurumsal Şube,Özel,MAGIC LINE,MAGİCLİNE ENERJİ SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MAGİCLİNE ENERJİ SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Fulya Mahallesi Likör Yanı Sokağı No:1 /26 Şişli / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/18339,Selenium Retro 9 - E5 Karayolu,Halka Açık,oncharge,KALYON ELECTRICAL VEHICLE ENERJİ YATIRIM ANONİM ŞİRKETİ,KALYON ELECTRICAL VEHICLE ENERJİ YATIRIM ANONİM ŞİRKETİ,Ataköy Mahallesi Çobançeşme E-5 Yanyol Caddesi No:16/2 Bakırköy / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/13440,TRABZON MODERN BOZTEPE RESIDENCE,Özel,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Çukurçayır Mahallesi Barbaros Caddesi No:2 Ortahisar / TRABZON,,Buton yok veya okunamadı
ŞRJ/20141,Dumankaya Trend Ekstra,Özel,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,Yenişehir Mahallesi Eşref Bitlis Caddesi Pendik / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20146,Azra Tatil Köyü Merih Sitesi,Özel,EN YAKIT,EN YAKIT ANONİM ŞİRKETİ,EN YAKIT ANONİM ŞİRKETİ,Beyhekim Mahallesi Gülsarayı Caddesi No:135 Selçuklu / KONYA,,Buton yok veya okunamadı
ŞRJ/20148,Meryem Ana Hotel,Halka Açık,varr TM,DESA ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,DESA ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çamlık Mahallesi Ege Caddesi No:22 Didim / AYDIN,,Buton yok veya okunamadı
ŞRJ/20160,GÖKSU ASLAN SİTESİ,Özel,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Kirazlı Mahallesi 1232 Sokağı No:18 Bağcılar / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20162,SUNA TOWERS KÜÇÜKKÖY,Özel,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Şemsipaşa Mahallesi Küçükköy Caddesi No:157 Gaziosmanpaşa / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/282,Adalya Dinlenme Tesisleri,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Afyon Karayolu Caddesi Afyon Karayolu 7. Km Adalya Dinlenme Tesisleri Sandıklı / AFYONKARAHİSAR,,Buton yok veya okunamadı
ŞRJ/20163,Shell Kütahya Merkez,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Vefa Mahallesi No:12/2 Merkez / KÜTAHYA,,Buton yok veya okunamadı
ŞRJ/729,Atlaspark AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Abdurrahmangazi Mahallesi No:67 Sultanbeyli / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/640,Bellis Deluxe Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kadriye Mahallesi Taşburun Mevkii Serik / ANTALYA,,Buton yok veya okunamadı
ŞRJ/785,Dedeman Tokat Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karşıyaka Mahallesi Orhangazi Caddesi No:15 /1 Merkez / TOKAT,,Buton yok veya okunamadı
ŞRJ/978,Fairmont Quasar İstanbul,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Mecidiye Mahallesi Büyükdere Caddesi No:76 Şişli / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/1510,Fethiye Sensatori Barut Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kargı Mahallesi 202 Manolya Sokağı No:4 /1 Fethiye / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1962,IC Hotels Airport,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çalkaya Mahallesi Lara Caddesi Güzelyurt Aksu / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1157,Kampüs Dinlenme Tesisleri,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Bahçesaray Mahallesi 135. Caddesi No:101 Adana Yolu Merkez / AKSARAY,,Buton yok veya okunamadı
ŞRJ/13719,Kocalar Çerkeş Dinlenme Tesisi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İstanbul Samsun Yolu Caddesi Çerkeş / ÇANKIRI,,Buton yok veya okunamadı
ŞRJ/818,Kocalar Tatlak Dinlenme Tesisi İstanbul Yönü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Tatlak Mahallesi Ankara Güney Yolu Çamlıdere / ANKARA,,Buton yok veya okunamadı
ŞRJ/6873,Lokman Hekim İstanbul Hastanesi Pendik,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yenişehir Mahallesi Kardelen Sokağı No:3 Pendik / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/4179,Lujo Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Meşelik Mahallesi 10 Sokağı Çomra Milas / MUĞLA,,Buton yok veya okunamadı
ŞRJ/827,One Tower AVM Ankara,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Oran Mahallesi Kudüs Caddesi No:6 /A Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/14740,OPS Mall,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çeştepe Mahallesi No:107 Efeler / AYDIN,,Buton yok veya okunamadı
ŞRJ/1312,Park Afyon AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Güven Evler Mahallesi 2096. Sokağı No:2 Merkez / AFYONKARAHİSAR,,Buton yok veya okunamadı
ŞRJ/12608,Ramiz Park,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ulu Cami Mahallesi 374 Sokağı No:140 Akhisar / MANİSA,,Buton yok veya okunamadı
ŞRJ/1313,Sandıklı Termal Park Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çakır Mahallesi No:264 Tozkoparan Sandıklı / AFYONKARAHİSAR,,Buton yok veya okunamadı
ŞRJ/693,Side Star Beach Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Selimiye Mahallesi Kiremithane Sokağı No:6 /1 Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/694,Side Star Elegance Hotel Antalya,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Side Mahallesi No:3 Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/12290,Şentürk Otomotiv Kia Bayi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Panayır Mahallesi İstanbul Caddesi No:467 Osmangazi / BURSA,,Buton yok veya okunamadı
ŞRJ/13723,TP Dehlevi Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Menzil Mahallesi Durak Kahta / ADIYAMAN,,Buton yok veya okunamadı
ŞRJ/16051,Zorluteks Lüleburgaz,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Büyükkarıştıran Mahallesi Tayyare Meydanı Lüleburgaz / KIRKLARELİ,,Buton yok veya okunamadı
ŞRJ/20164,ADİL PARK SULTANGAZİ SİTESİ,Özel,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,50. Yıl Mahallesi 2208 Sokağı No:4 Sultangazi / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20171,TRİO LİFE KONUTLARI,Özel,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Altındağ Mahallesi 4178/1 Sokağı No:18 Bornova / İZMİR,,Buton yok veya okunamadı
ŞRJ/10150,"Mengerler, Nilüfer, Bursa",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Ürünlü Mahallesi İzmir Yolu Caddesi No:403 Nilüfer / BURSA,,Buton yok veya okunamadı
ŞRJ/20177,Mitza Park,Halka Açık,EN YAKIT,EN YAKIT ANONİM ŞİRKETİ,EN YAKIT ANONİM ŞİRKETİ,Körfez Mahallesi Liman Caddesi No:38 Başiskele / KOCAELİ,,Buton yok veya okunamadı
ŞRJ/20188,Capitol AVM,Halka Açık,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,Altunizade Mahallesi Mahir İz Caddesi Caddesi No:1 Kadıköy / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20189,Evora Sitesi C Parsel,Özel,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,Aydınlı Mahallesi Prof. Dr. Necmettin Erbakan Caddesi No:C7 blok Tuzla / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/17397,Rönesans Adalet Şantiye,Özel,RÖNESANS CHARGER,RÖNESANS ŞARJ İSTASYON ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,RÖNESANS ŞARJ İSTASYON ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Gayret Mahallesi Ahmet Hamdi Sokağı No:1 Yenimahalle / ANKARA,,Buton yok veya okunamadı
ŞRJ/20192,PO Osmangazi-Sura,Halka Açık,5 şarj,BORENCO ŞARJ TEKNOLOJİ YATIRIMLARI TİCARET ANONİM ŞİRKETİ,BORENCO ŞARJ TEKNOLOJİ YATIRIMLARI TİCARET ANONİM ŞİRKETİ,Fatih Sultan Mehmet Mahallesi Sanayi Caddesi No:620 Orhangazi / BURSA,,Buton yok veya okunamadı
ŞRJ/20193,PO Milas-İke-2,Halka Açık,5 şarj,BORENCO ŞARJ TEKNOLOJİ YATIRIMLARI TİCARET ANONİM ŞİRKETİ,BORENCO ŞARJ TEKNOLOJİ YATIRIMLARI TİCARET ANONİM ŞİRKETİ,Beçin Mahallesi Milas / MUĞLA,,Buton yok veya okunamadı
ŞRJ/362,BOMONTİ RESIDENCES BY ROTANA,Özel,AKSA ŞARJ,AKSA MÜŞTERİ ÇÖZÜMLERİ ANONİM ŞİRKETİ,AKSA MÜŞTERİ ÇÖZÜMLERİ ANONİM ŞİRKETİ,Merkez Mahallesi Bomonti Arkası Sokağı No:4 Şişli / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20204,VİLLA PARK SERA GÖLÜ RESTORAN,Halka Açık,AKSA ŞARJ,AKSA MÜŞTERİ ÇÖZÜMLERİ ANONİM ŞİRKETİ,AKSA MÜŞTERİ ÇÖZÜMLERİ ANONİM ŞİRKETİ,Derecik Mahallesi No:162 Akçaabat / TRABZON,,Buton yok veya okunamadı
ŞRJ/6960,BUSİNESS İSTANBUL,Özel,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Merdivenköy Mahallesi Yumurtacı Abdi Bey Caddesi Dikyol Sokağı No:2/A Kadıköy / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/964,Akatlar Clubsporium,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Akatlar Mahallesi Cumhuriyet Caddesi No:4 Beşiktaş / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20208,M1 Adana AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yeni Mahallesi Öğretmenler Sokağı No:90 Seyhan / ADANA,,Buton yok veya okunamadı
ŞRJ/19958,İÜC - Prof. Dr. Murat Dilmaner Hastanesi,Halka Açık,oncharge,KALYON ELECTRICAL VEHICLE ENERJİ YATIRIM ANONİM ŞİRKETİ,KALYON ELECTRICAL VEHICLE ENERJİ YATIRIM ANONİM ŞİRKETİ,Yeşilköy Mahallesi Yeşil Zeytin Sokağı No:1/0 Hava Alanı Pandemi Hastanesi Bakırköy / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/20209,Starcity Outlet AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yenibosna Mahallesi Değirmenbahçe Caddesi No:34 Bahçelievler / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/14588,Mall Of Alanya AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Konaklı Mahallesi No:81 Alanya / ANTALYA,,Buton yok veya okunamadı
ŞRJ/20211,Cepa AVM,Halka Açık,EN YAKIT,EN YAKIT ANONİM ŞİRKETİ,ÜSTÜNÇELİK MALZEME İMALAT MONTAJ İNŞAAT TAAHHÜT TURİZM TİCARET VE SANAYİ ANONİM ŞİRKETİ,Mustafa Kemal Mahallesi 2123 Sokağı No:2 Çankaya / ANKARA,,Buton yok veya okunamadı
